code,name,dividend,ex_date,Unnamed: 4,Unnamed: 5
6170,統振,4.0,2026-07-08,,
3158,嘉實,6.5,2026-03-30,,
8433,弘帆,4.2,2026-04-16,,
4506,崇友,5.3,2026-07-22,,
8938,明安,4.0,2026-03-27,,
4138,曜亞,4.2,2026-04-03,,
7708,全家餐飲,5.5,2026-07-30,,
8446,華研,8.0,2026-04-16,,
2916,滿心,3.6,2026-05-28,,
5212,凌網,4.2,2026-04-08,,
2745,五福,7.5,2026-07-23,,
6292,迅德,1.8,2026-06-23,,
2752,豆府,13.5,2026-04-09,,
4305,世坤,3.1,2026-07-01,,
1580,新麥,8.5,2026-07-14,,
6263,普萊德,7.8,2026-07-01,,
6028,公勝保經,6.0,2026-04-09,,
5410,國眾,2.0747,2026-07-30,,
6881,潤德,18.5,2026-06-18,,
5520,力泰,7.0,2026-03-26,,
5478,智冠,7.5,2026-03-24,,
3171,炎洲流通,4.6403,2026-07-09,,
8424,惠普,5.0,2026-06-11,,
5312,寶島科,6.5,2026-06-25,,
3211,順達,11.4655,2026-07-02,,
2412,中華電,5.2,2026-07-09,,
3045,台灣大,4.744,2026-07-09,,
4904,遠傳,3.81,2026-07-08,,
2382,廣達,15.6,2026-07-16,,
6488,環球晶,5.7,2026-07-16,,
2404,漢唐,40.0,2026-07-16,,
1465,偉全,0.3,2026-08-03,,
6207,雷科,0.6,2026-07-18,,
